"","X1","probs","quinteto","Year","Player","Pos"
"142",189,0.0559172508434052,0,2015,"Kenneth Faried","PF"
"143",444,0.0539003306899725,0,2015,"Jabari Parker","PF"
"144",480,0.0535895199236564,0,2015,"Tayshaun Prince","SF"
"145",233,0.0529439384019765,0,2015,"JaMychal Green","PF"
"146",563,0.0515601260816388,0,2015,"Amar'e Stoudemire","PF"
"147",331,0.0515441339311699,0,2015,"Brandon Knight","SG"
"148",555,0.0510540880624464,0,2015,"Tiago Splitter","C"
"149",440,0.050635606909447,0,2015,"Arinze Onuaku","C"
"150",558,0.0500550143659063,0,2015,"Greg Stiemsma","C"
"151",277,0.049524836873383,0,2015,"Lester Hudson","SG"
"152",559,0.0490382345647777,0,2015,"David Stockton","PG"
"153",545,0.0490009660408418,0,2015,"J.R. Smith","SG"
"154",408,0.0469207340119964,0,2015,"Markieff Morris","PF"
"155",154,0.0466267310489954,0,2015,"Austin Daye","SF"
"156",457,0.0465480990614389,0,2015,"Paul Pierce","SF"
"157",505,0.0461878613393261,0,2015,"Thomas Robinson","PF"
"158",611,0.0458818211621198,0,2015,"C.J. Watson","PG"
"159",141,0.0453231273413525,0,2015,"Troy Daniels","SG"
"160",98,0.0451975131191807,0,2015,"Isaiah Canaan","PG"
"161",551,0.0449727661745409,0,2015,"Russ Smith","PG"
"162",264,0.0445028244897128,0,2015,"Roy Hibbert","C"
"163",564,0.0422828253630715,0,2015,"Rodney Stuckey","PG"
"164",208,0.0407186530536535,0,2015,"Kevin Garnett","PF"
"165",628,0.040716144139787,0,2015,"Mo Williams","PG"
"166",247,0.0395149819741237,0,2015,"Justin Hamilton","C"
"167",147,0.0392128789495552,0,2015,"Brandon Davies","PF"
"168",422,0.0389258253825887,0,2015,"Gary Neal","SG"
"169",345,0.037941612191522,0,2015,"David Lee","PF"
"170",325,0.0377672712037992,0,2015,"Michael Kidd-Gilchrist","SF"
"171",308,0.0360444801987833,0,2015,"Joe Johnson","SG"
"172",43,0.0357489918960765,0,2015,"Will Barton","SG"
"173",242,0.0356965300814622,0,2015,"Jorge Gutierrez","PG"
"174",525,0.0351108565289189,0,2015,"Ramon Sessions","PG"
"175",384,0.0350370897663947,0,2015,"Jerel McNeal","PG"
"176",502,0.0340795263857783,0,2015,"Nate Robinson","PG"
"177",30,0.0337832116192399,0,2015,"D.J. Augustin","PG"
"178",517,0.0329453000088163,0,2015,"Larry Sanders","C"
"179",529,0.0325373197043314,0,2015,"Alexey Shved","SG"
"180",197,0.0325095767312086,0,2015,"Tim Frazier","PG"
"181",63,0.0324977921752019,0,2015,"Vander Blue","SG"
"182",198,0.032018670324613,0,2015,"Tim Frazier","PG"
"183",424,0.0318671176245121,0,2015,"Jameer Nelson","PG"
"184",506,0.0317527240916421,0,2015,"Rajon Rondo","PG"
"185",169,0.0307852585235648,0,2015,"Zoran Dragic","SG"
"186",453,0.0293236570857722,0,2015,"Nikola Pekovic","C"
"187",410,0.0292963222847153,0,2015,"Donatas Motiejunas","PF"
"188",490,0.0289905584750576,0,2015,"Jason Richardson","SG"
"189",569,0.0286995265757554,0,2015,"Sebastian Telfair","PG"
"190",547,0.0281694987394639,0,2015,"Josh Smith","PF"
"191",385,0.0278745830125949,0,2015,"Josh McRoberts","PF"
"192",426,0.0277058769736004,0,2015,"Jameer Nelson","PG"
"193",392,0.0273475460266549,0,2015,"Andre Miller","PG"
