"","probs","quinteto","Year","Player"
"523",0.426585464919359,0,2015,"Ramon Sessions"
"458",0.422950269116689,0,2015,"Mason Plumlee"
"421",0.422494694395447,0,2015,"Gary Neal"
"360",0.421778833763522,0,2015,"Shelvin Mack"
"282",0.420001209206928,0,2015,"Ersan Ilyasova"
"13",0.419411166873507,0,2015,"Tony Allen"
"261",0.419077680174544,0,2015,"Gerald Henderson"
"432",0.412236575181384,0,2015,"Steve Novak"
"584",0.410573739641586,0,2015,"Marcus Thornton"
"89",0.406534691848972,0,2015,"Rasual Butler"
"438",0.402116254241325,0,2015,"Victor Oladipo"
"389",0.399341084317082,0,2015,"C.J. Miles"
"255",0.396848361836459,0,2015,"Tobias Harris"
"263",0.396383625736956,0,2015,"John Henson"
"646",0.395185743913882,0,2015,"Nick Young"
"423",0.392993721908913,0,2015,"Jameer Nelson"
"277",0.389520685857699,0,2015,"Lester Hudson"
"649",0.37939359565027,0,2015,"Thaddeus Young"
"440",0.378789766270123,0,2015,"Arinze Onuaku"
"618",0.37851475980905,0,2015,"Shayne Whittington"
"363",0.375183951355965,0,2015,"Shawn Marion"
"21",0.373047541783844,0,2015,"Ryan Anderson"
"15",0.37155871739923,0,2015,"Lou Amundson"
"640",0.371354839421935,0,2015,"Brandan Wright"
"370",0.37021691877149,0,2015,"O.J. Mayo"
"72",0.368699833304738,0,2015,"Corey Brewer"
"520",0.364738901401728,0,2015,"Mike Scott"
"197",0.36335038077456,0,2015,"Tim Frazier"
"115",0.359533917011588,0,2015,"Jordan Clarkson"
"67",0.358027920295057,0,2015,"Trevor Booker"
"198",0.350460576149664,0,2015,"Tim Frazier"
"160",0.347674819356233,0,2015,"Gorgui Dieng"
"280",0.3474298072842,0,2015,"Serge Ibaka"
"571",0.345893571498723,0,2015,"Jason Terry"
"643",0.344804621291145,0,2015,"Dorell Wright"
"163",0.344347797581143,0,2015,"Toney Douglas"
"411",0.343381022578441,0,2015,"Timofey Mozgov"
"559",0.343336755456747,0,2015,"David Stockton"
"43",0.343132163044959,0,2015,"Will Barton"
"424",0.342246047619526,0,2015,"Jameer Nelson"
"355",0.340958085613334,0,2015,"Robin Lopez"
"85",0.336650311325911,0,2015,"Trey Burke"
"265",0.336432482680621,0,2015,"J.J. Hickson"
"94",0.334362248984132,0,2015,"Jose Calderon"
"315",0.333662048075162,0,2015,"Terrence Jones"
"496",0.332682762886047,0,2015,"Brian Roberts"
"579",0.332034338315213,0,2015,"Tyrus Thomas"
"73",0.331551396856934,0,2015,"Corey Brewer"
"321",0.325179900566807,0,2015,"Enes Kanter"
"550",0.322142142586992,0,2015,"Russ Smith"
"541",0.320975697725955,0,2015,"Ish Smith"
"318",0.320053093106758,0,2015,"Cory Joseph"
"408",0.316241970190674,0,2015,"Markieff Morris"
"298",0.301549710883648,0,2015,"Jonas Jerebko"
"125",0.300712038811779,0,2015,"Bryce Cotton"
"154",0.29971512781737,0,2015,"Austin Daye"
"631",0.29893489446093,0,2015,"Reggie Williams"
"398",0.295014001787981,0,2015,"Patty Mills"
"503",0.294516631795377,0,2015,"Thomas Robinson"
"307",0.292008705291608,0,2015,"James Johnson"
"325",0.289650730440557,0,2015,"Michael Kidd-Gilchrist"
"184",0.287696836429504,0,2015,"Jeremy Evans"
"71",0.282980661763796,0,2015,"Elton Brand"
"491",0.28065011574073,0,2015,"Luke Ridnour"
"142",0.280622499256003,0,2015,"Luigi Datome"
"256",0.268466134466033,0,2015,"Udonis Haslem"
